filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,animated,animated_animation_ids,rel_position_to_animations,rel_x_position_to_animations,rel_y_position_to_animations
logo_153,5,0.1398414121021388,0.19638218839820826,-1.50663532689378,-0.45128130843382225,-0.6076722250257702,-1.3859405386952508,2.09414404113428,-0.6502985234658898,-0.905656663367264,-1.3218684291070246,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,0,0,0,0.2269064838869226,-0.1646121759131658,0.4416198757712897,-0.020035622850359956,0.6902067441810492,-0.04037245929839861,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.769292579150147,-0.7865815775597308,0.5339771931852175,-0.47189015061879097,-0.5920059006094259,1,"[11, 12, 4, 5, 3, 6, 7]","(0.6341310651120826, 0.3305659204491447)",0.5104899585022993,-0.7437352612658528
logo_153,3,-0.48071935359109685,-1.0663571993814664,-1.3445864924259265,2.3683905191440626,1.1563854210929012,-0.4189924421584599,-0.4950843851609739,0.14399737048987865,-1.7757998478678823,1.0127809812966615,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,0,0,0,0.2269064838869226,-0.1646121759131658,0.4416198757712897,-0.020035622850359956,0.6902067441810492,-0.04037245929839861,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.564078035818572,-0.9032218912070632,-0.570994431538163,-0.3929302496645505,-0.5920059006094259,1,"[11, 12, 4, 5, 3, 6, 7]","(0.20756064017099246, 0.3462223457421528)",-1.2100633550838475,-0.6739502332907306
logo_153,6,0.6225355980409604,0.46931561085364965,-1.7967457717038808,-0.3355866704704665,-0.6016429241008456,-1.499715567709704,0.6153168259655565,-0.13397000379053184,-0.18993404985141968,-0.3682321136288881,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,0,0,0,0.2269064838869226,-0.1646121759131658,0.4416198757712897,-0.020035622850359956,0.6902067441810492,-0.04037245929839861,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.766764284334532,-0.8918169516486242,0.8977439148436285,-0.38520884135738204,-0.5920059006094259,1,"[11, 12, 4, 5, 3, 6, 7]","(0.7745619337111759, 0.3477533716281662)",1.076911778138104,-0.667126026469152
logo_153,7,0.692641269900657,0.9005491285128632,-1.4164857238852988,-1.357826989483547,0.5413818229892362,-0.9026876094154732,0.1304473957171372,0.12411727873852625,0.34946215140598513,0.6215314351806239,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,0,0,0,0.2269064838869226,-0.1646121759131658,0.4416198757712897,-0.020035622850359956,0.6902067441810492,-0.04037245929839861,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.7541458646164995,-0.8918108265468211,1.3020787550963366,-0.3852129881932073,-0.5920059006094259,1,"[11, 12, 4, 5, 3, 6, 7]","(0.9306539823809898, 0.34775254938010725)",1.706502288545354,-0.6671296914567034
logo_154,11,0.2651231038901943,-0.2967917966661212,-0.907366726870281,-0.4398178452918761,-0.42641405960600365,-0.47337361113909343,-1.202851867839211,-0.7338810059991744,-1.3678589864882402,-0.2430766323405494,0,1.0,1.0,-1.2980356450683386,-0.7363643162823148,0.3769692185133061,22,65,148,0.11945153133506017,-1.4965548431762203,0.35722460931927275,-1.0928654223422751,0.6829018863613446,-0.13562426142152767,4.714285714285714,17.285714285714285,13.928571428571429,51.07142857142857,31.714285714285715,116.28571428571428,-0.8030856285671105,-0.4437517947758969,0.23686841905934725,-1.5960588638749966,-0.5362571856645781,1,"[11, 12, 13]","(0.7406931670087812, 0.1076621013823901)",0.9403035761397377,-1.737279378662929
logo_154,12,0.4689317923087626,-0.28056815475234564,-0.3881038478356511,-0.4733538575877258,0.10439040972352896,0.5437903161399263,-0.8474434027855016,0.49786040744531995,-0.9268859880597221,-0.9404504724482825,0,1.0,1.0,-1.2980356450683386,-0.7363643162823148,0.3769692185133061,22,65,148,0.11945153133506017,-1.4965548431762203,0.35722460931927275,-1.0928654223422751,0.6829018863613446,-0.13562426142152767,4.714285714285714,17.285714285714285,13.928571428571429,51.07142857142857,31.714285714285715,116.28571428571428,-0.16782832319876725,-0.7632354778369819,0.239830098755019,-0.47961643603623577,-0.5362571856645781,1,"[11, 12, 13]","(0.7423232419963942, 0.3290339275138852)",0.9468784129248216,-0.7505637784940169
logo_154,13,0.6647051332337486,-0.4985700000476006,0.05331983872871839,-0.7876939240962717,0.5600576340951121,0.6256388351949239,-0.7901302534540318,-1.0118929423729242,0.33876288954066014,-0.23380825903290928,0,1.0,1.0,-1.2980356450683386,-0.7363643162823148,0.3769692185133061,22,65,148,0.11945153133506017,-1.4965548431762203,0.35722460931927275,-1.0928654223422751,0.6829018863613446,-0.13562426142152767,4.714285714285714,17.285714285714285,13.928571428571429,51.07142857142857,31.714285714285715,116.28571428571428,-0.5925347746964931,0.8159602256834715,0.23982631627775727,1.5084349079363608,-0.5362571856645781,1,"[11, 12, 13]","(0.7423211601637152, 0.7232311968798851)",0.9468700159429756,1.0064827347166387
logo_155,11,0.21986290974073458,0.9366976352928281,0.7529490668737111,0.2133714621670678,0.5801879529036561,2.905174327250097,-0.12860021755019985,1.6579204981359907,-0.5346367794433856,-1.6662756796396048,0,1.0,1.0,-1.2980356450683386,-0.7363643162823148,0.3769692185133061,22,65,148,0.3636673325892933,-1.6912833033023975,0.549032033073857,-1.249711884256298,0.699503835951582,-0.14954996348631278,13.76923076923077,8.23076923076923,17.076923076923077,47.92307692307692,23.384615384615383,124.6153846153846,3.2361027677788905,0.24008397478905855,0.386230881157301,-0.07766456705244161,-0.5920059006094259,1,"[11, 12]","(0.4999999999999999, 0.672043553312973)",-0.030521876918086645,0.7783252165446722
logo_155,12,0.4280798929481234,0.8242722621969039,-1.0762798724502671,-0.9736970889478966,-0.7288821776220873,0.009034423685769037,-0.6485295496069583,-0.26547156715416936,-1.2845863256672652,-0.1802012034999205,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,157,157,156,0.3636673325892933,-0.27366011358382525,0.549032033073857,-0.10786964152221287,0.699503835951582,-0.04817085245467816,13.76923076923077,143.23076923076923,17.076923076923077,139.92307692307693,23.384615384615383,132.6153846153846,-0.652521422543651,-0.5150091339876687,0.9220660651886975,-1.644301733389323,-0.5920059006094259,1,"[11, 12]","(0.6250006615518419, 0.16129066525029875)",0.4736628716218142,-1.4982420020109968
logo_156,18,-0.06822811211588312,-1.8658463303693544,0.891874060912907,-0.9075381644252518,0.7032517181525191,-0.9882020499491307,-0.2909499149061599,0.362301115907292,0.47028098158494547,0.002773349696922275,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,157,157,156,0.8302658780105463,-0.6457081783706238,1.0662449209546958,-0.5308095357790688,1.1792020766800426,-0.45054135388749,22.40909090909091,134.5909090909091,24.363636363636363,132.63636363636363,28.0,128.0,-1.0315515421356878,-1.0985292034930438,-0.946739933944769,1.418944483885024,-0.09026746610579557,1,"[18, 19, 20, 21]","(0.0750174727425217, 0.972749750118365)",-1.7446704740460974,2.1186561007426294
